DocumentID,Institution name,Institution code (UKPRN),Main panel,URL,UoAValue,UoAString,4*,3*,2*,1*,unclassified,WordCount,TextUsed,IncludedInTopicModel,ResearchRank,ReasonForRemoval,food-environmental-science,art-media-research,study-english-literature,physics-group-facility,design-environment-project,mathematics-group-mathematical,law-school-international,study-language-linguistics,environmental-nerc-geography,social-research-work,archaeology-project-anthropology,wale-welsh-cardiff,engineering-technology-system,research-department-student,biology-cell-science,philosophy-project-ethic,research-staff-support,university-research-international,research-staff-university,chemistry-material-epsrc,system-computer-science,psychology-neuroscience-cognitive,economics-economic-lse,management-business-school,scottish-scotland-edinburgh,health-research-care,sport-exercise-science,clinical-cancer-research,history-study-project,music-performance-theatre
10007154-29-,University of Nottingham,10007154,D,http://strategicfutures.org/demos/REF2014/resources/pdfs/10007154-29-.pdf,29, English Language and Literature,100,0,0,0,0,4362,,TRUE,26,,0,0.020528551,0.337423313,0,0,0,2.36E-04,0.033742331,0,0.005427088,0.008730533,0,0,0.039877301,0,0,0.372581406,0.047663992,0.103822558,0,0,0.007078811,0,0.011798018,0.004011326,0.002831524,0,0,0.001415762,0.002831524
10007154-28-,University of Nottingham,10007154,D,http://strategicfutures.org/demos/REF2014/resources/pdfs/10007154-28-.pdf,28, Modern Languages and Linguistics,10,50,40,0,0,5839,,TRUE,26,,0,0.019823392,0.008469995,0,0,0,0.010091908,0.459722473,0,0.00540638,0,0,0,0.069201658,0,0.014236799,0.210848802,0.105604613,0.015678501,0,3.60E-04,1.80E-04,0,0.001802127,0,0,0.001261489,0,0.073526762,0.003784466
10007799-34-,Newcastle University,10007799,D,http://strategicfutures.org/demos/REF2014/resources/pdfs/10007799-34-.pdf,34," Art and Design_ History, Practice and Theory",0,100,0,0,0,3194,,TRUE,27,,0,0.396052213,0.00127348,0,0,0,0,0,0,0,0.019102197,0,0.008277619,0.055078001,0,0,0.23272843,0.042979943,0.215218083,0,0.00127348,0,0,0,0,0.00191022,0,0,0.007959249,0.018147087
10007799-30-,Newcastle University,10007799,D,http://strategicfutures.org/demos/REF2014/resources/pdfs/10007799-30-.pdf,30, History,0,50,50,0,0,2968,,TRUE,27,,0,0,0.010674931,0,0,0,0.013085399,0,0,0.064049587,0,0,0,0.016184573,0,0,0.094352617,0.152203857,0.237258953,0,0,0,0,0,0,0.005509642,0,0.035123967,0.371556474,0
10007799-31-,Newcastle University,10007799,D,http://strategicfutures.org/demos/REF2014/resources/pdfs/10007799-31-.pdf,31, Classics,0,70,30,0,0,2138,,TRUE,27,,0,0,0.018722996,0,0,0,0,0,0,0,0.020643303,0,0,0.140662506,0,0.005760922,0.241478637,0.098895823,0.029764762,0,0,0.001920307,0,0,0,0,0,0,0.433029285,0.009121459
10007799-35-,Newcastle University,10007799,D,http://strategicfutures.org/demos/REF2014/resources/pdfs/10007799-35-.pdf,35," Music, Drama, Dance and Performing Arts",50,50,0,0,0,2433,,TRUE,27,,0,0.019839595,0.014774166,0,0,0,0,0,0,0.047699451,0,0,0,0.140987759,0,0,0.254959899,0.030392571,0.139721401,0,0,0,0,0,0,0,0,0,0,0.351625158
10007799-36-,Newcastle University,10007799,D,http://strategicfutures.org/demos/REF2014/resources/pdfs/10007799-36-.pdf,36," Communication, Cultural and Media Studies, Library and Information Management",70,30,0,0,0,3268,,TRUE,27,,0,0.26881049,0,0,0,0,0,0,6.24E-04,0.252887918,0.052763035,0,0,0.009678426,0,0,0.093974399,0.160474555,0.136122385,0,0,0,0,0,0,0,0.007492975,9.37E-04,0.01623478,0
10007799-29-,Newcastle University,10007799,D,http://strategicfutures.org/demos/REF2014/resources/pdfs/10007799-29-.pdf,29, English Language and Literature,80,20,0,0,0,3777,,TRUE,27,,0,0.064333782,0.444683715,0,0,0,8.08E-04,0,0,0.060834455,0,0,0,0.098519515,0,0,0.192193809,0.073216689,0.039838493,0,0,0,0,8.08E-04,0,0,0,0,0.013997308,0.01076716
10007799-28-,Newcastle University,10007799,D,http://strategicfutures.org/demos/REF2014/resources/pdfs/10007799-28-.pdf,28, Modern Languages and Linguistics,40,30,30,0,0,4060,,TRUE,27,,0,0.011424219,0,0,0.001523229,0,0.010408733,0.2899213,0,0,0,0,0,0.061183041,2.54E-04,0,0.21249048,0.178217822,0.162477786,0,0,0.055343996,0,0,0,0.016755522,0,0,0,0
10007792-29-,University of Exeter,10007792,D,http://strategicfutures.org/demos/REF2014/resources/pdfs/10007792-29-.pdf,29, English Language and Literature,60,40,0,0,0,4129,,TRUE,28,,0,0.06166419,0.195146112,0,0,0,0,0,0,0.001238237,0,0.113917781,0,0.195889054,7.43E-04,0,0.375928678,0,0.002724121,0,0,0,0,0,0,0,0,0,0.052748886,0
